Page,Clicks,Impressions,CTR,Position,,,,,Page,Clicks
https://docs.python.org/3/c-api/set.html,7,51,13.73%,6.57,,#VALUE!,7,,library/tkinter.scrolledtext.html,2
https://docs.python.org/pt-br/3/whatsnew/3.9.html,7,45,16%,1.42,,#VALUE!,7,,library/tkinter.ttk.html,66
https://docs.python.org/pt-br/3/installing/index.html,7,34,20.59%,6.26,,#VALUE!,7,,library/token.html,2
https://docs.python.org/pt-br/3.8/library/bisect.html,7,26,26.92%,2.5,,library/bisect.html,7,,library/token.html,2
https://docs.python.org/pt-br/3.7/library/abc.html,7,21,33.33%,1.67,,library/abc.html,7,,library/tokenize.html,35
https://docs.python.org/pt-br/3/library/zlib.html,7,17,41.18%,2.12,,library/zlib.html,7,,library/trace.html,5
https://docs.python.org/pt-br/3.8/library/cmath.html,7,17,41.18%,2.24,,library/cmath.html,7,,library/traceback.html,122
https://docs.python.org/3/using/unix.html,7,15,46.67%,2.2,,#VALUE!,7,,library/tracemalloc.html,19
https://docs.python.org/3/library/urllib.error.html,7,14,50.00%,2.07,,library/urllib.error.html,7,,library/tty.html,6
https://docs.python.org/3/library/ensurepip.html,7,13,54%,1,,library/ensurepip.html,7,,library/tty.html,3
https://docs.python.org/pt-br/3/library/gettext.html,7,13,53.85%,1.15,,library/gettext.html,7,,library/tty.html,2
https://docs.python.org/3/library/contextvars.html,7,11,63.64%,1.27,,library/contextvars.html,7,,library/turtle.html,294
